MovieName,ReleaseYear,ImdbRating,Metascore,Votes
Rambo,(2008),7.0,,204283
Tropic Thunder,(2008),7.0,71.0,355730
The House Bunny,(2008),5.5,,75083
The Curious Case of Benjamin Button,(2008),7.8,70.0,546628
Mamma Mia!,(2008),6.4,,197402
In Bruges,(2008),7.9,67.0,367010
The Hottie & the Nottie,(2008),1.9,,35507
The Hurt Locker,(2008),7.6,94.0,396925
Martyrs,(2008),7.1,,75788
The Incredible Hulk,(2008),6.7,61.0,408838
Wanted,(2008),6.7,64.0,343958
Revolutionary Road,(2008),7.3,69.0,180916
WALL·E,(2008),8.4,95.0,921820
Get Smart,(2008),6.5,,192104
Slumdog Millionaire,(2008),8.0,86.0,754522
The Midnight Meat Train,(2008),6.1,,56122
Pineapple Express,(2008),7.0,64.0,297758
Burn After Reading,(2008),7.0,63.0,291027
Gran Torino,(2008),8.1,72.0,677459
Step Brothers,(2008),6.9,,250001
Taken,(I) (2008),7.8,,542584
Forgetting Sarah Marshall,(2008),7.1,67.0,250275
Sex and the City,(2008),5.6,,111198
Hellboy II: The Golden Army,(2008),7.0,78.0,245022
Quantum of Solace,(2008),6.6,,381108
Seven Pounds,(2008),7.6,,271292
Cloverfield,(2008),7.0,64.0,354620
Indiana Jones and the Kingdom of the Crystal Skull,(2008),6.1,65.0,398099
The Reader,(2008),7.6,,219648
RocknRolla,(2008),7.3,,221978
Body of Lies,(2008),7.1,,201501
The Boy in the Striped Pyjamas,(2008),7.8,,173614
Sex Drive,(2008),6.5,,80385
27 Dresses,(2008),6.1,,146345
Hancock,(2008),6.4,,417641
Rachel Getting Married,(2008),6.7,82.0,45339
Yes Man,(2008),6.8,,313987
Vicky Cristina Barcelona,(2008),7.1,70.0,229745
The Wrestler,(2008),7.9,81.0,279016
21,(2008),6.8,,215834
The Strangers,(2008),6.2,,111506
Jumper,(2008),6.1,,274570
Zack and Miri Make a Porno,(2008),6.5,,166917
Kung Fu Panda,(2008),7.5,73.0,387711
The Happening,(2008),5.0,,187748
Eagle Eye,(2008),6.6,,168397
Inglourious Basterds,(2009),8.3,69.0,1148253
